id,title,starts_at,ends_at,categories,organization,city,price_min,price_max,url,created_at
3610148,,2025-11-06T16:00:00+0300,2025-11-06T18:00:00+0300,Бизнес,Kofcheg,Санкт-Петербург,,,https://kofcheg.timepad.ru/event/3610148/,2025-10-04T12:58:09+0300
3610151,,2025-11-11T16:00:00+0300,2025-11-11T18:00:00+0300,Бизнес,Kofcheg,Санкт-Петербург,,,https://kofcheg.timepad.ru/event/3610151/,2025-10-04T13:05:20+0300
3610152,,2025-11-13T16:00:00+0300,2025-11-13T18:00:00+0300,Бизнес,Kofcheg,Санкт-Петербург,,,https://kofcheg.timepad.ru/event/3610152/,2025-10-04T13:05:21+0300
3610153,,2025-11-18T16:00:00+0300,2025-11-18T18:00:00+0300,Бизнес,Kofcheg,Санкт-Петербург,,,https://kofcheg.timepad.ru/event/3610153/,2025-10-04T13:05:21+0300
3610154,,2025-11-20T16:00:00+0300,2025-11-20T18:00:00+0300,Бизнес,Kofcheg,Санкт-Петербург,,,https://kofcheg.timepad.ru/event/3610154/,2025-10-04T13:05:21+0300
3610155,,2025-11-25T16:00:00+0300,2025-11-25T18:00:00+0300,Бизнес,Kofcheg,Санкт-Петербург,,,https://kofcheg.timepad.ru/event/3610155/,2025-10-04T13:05:22+0300
3610156,,2025-11-27T16:00:00+0300,2025-11-27T18:00:00+0300,Бизнес,Kofcheg,Санкт-Петербург,,,https://kofcheg.timepad.ru/event/3610156/,2025-10-04T13:05:22+0300
3617162,,2025-11-05T19:00:00+0300,2025-11-05T22:00:00+0300,Бизнес,Школа ораторского искусства &quot;ОЕ ОРАТОР&quot;,Санкт-Петербург,,,https://oee-orator.timepad.ru/event/3617162/,2025-10-09T15:45:25+0300
3617163,,2025-11-19T19:00:00+0300,2025-11-19T22:00:00+0300,Бизнес,Школа ораторского искусства &quot;ОЕ ОРАТОР&quot;,Санкт-Петербург,,,https://oee-orator.timepad.ru/event/3617163/,2025-10-09T15:45:25+0300
3621854,,2025-11-07T16:00:00+0300,2025-11-07T20:00:00+0300,Бизнес,ИП Быстрякова,Санкт-Петербург,,,https://praktikatb.timepad.ru/event/3621854/,2025-10-13T14:54:12+0300
3624759,,2025-11-05T19:30:00+0300,2025-11-05T21:00:00+0300,Бизнес,Train Eng,Санкт-Петербург,,,https://rechtren.timepad.ru/event/3624759/,2025-10-14T13:02:54+0300
3624760,,2025-11-12T19:30:00+0300,2025-11-12T21:00:00+0300,Бизнес,Train Eng,Санкт-Петербург,,,https://rechtren.timepad.ru/event/3624760/,2025-10-14T13:02:54+0300
3624762,,2025-11-19T19:30:00+0300,2025-11-19T21:00:00+0300,Бизнес,Train Eng,Санкт-Петербург,,,https://rechtren.timepad.ru/event/3624762/,2025-10-14T13:02:54+0300
3624763,,2025-11-26T19:30:00+0300,2025-11-26T21:00:00+0300,Бизнес,Train Eng,Санкт-Петербург,,,https://rechtren.timepad.ru/event/3624763/,2025-10-14T13:02:55+0300
3625586,,2025-11-08T11:00:00+0300,2025-11-08T15:00:00+0300,Бизнес,Нетворкинг &#039;&#039;Ракета&#039;&#039;,Санкт-Петербург,,,https://netvorking-raketa.timepad.ru/event/3625586/,2025-10-14T18:03:33+0300
3629648,,2025-11-15T12:00:00+0300,2025-11-15T14:00:00+0300,Бизнес,АК Интерсолюшен,Санкт-Петербург,,,https://ak-intersolyushen.timepad.ru/event/3629648/,2025-10-17T13:45:50+0300
3629849,,2025-11-05T19:00:00+0300,2025-11-05T21:00:00+0300,Бизнес,Инвестиционный клуб &quot;Капитал&quot;,Санкт-Петербург,,,https://investclubspb2510.timepad.ru/event/3629849/,2025-10-17T15:24:15+0300
3629852,,2025-11-27T15:00:00+0300,2025-11-27T18:00:00+0300,Бизнес,Milanobar тренинг-центр ,Санкт-Петербург,,,https://milanobar-training.timepad.ru/event/3629852/,2025-10-17T15:25:56+0300
3630317,,2025-11-26T09:30:00+0300,2025-11-26T12:30:00+0300,Бизнес,Агентство Бизнес Новостей,Санкт-Петербург,,,https://agentstvo-biznes-novostey.timepad.ru/event/3630317/,2025-10-17T19:24:08+0300
3631618,,2025-11-30T13:30:00+0300,2025-11-30T14:30:00+0300,Бизнес,Оргкомитет Международного Фестиваля пряничного искусства &quot;Мир пряника&quot;,Санкт-Петербург,,,https://mirpryanikaspb-event.timepad.ru/event/3631618/,2025-10-20T00:06:35+0300
